game_id,total_all,total_commented,total_rated,total_rated_and_commented,avgweight,numweights,poll_avg,poll_votes
1,7676.0,2173.0,5953.0,1556.0,4.3103,796.0,4.310301507537688,796.0
2,879.0,326.0,609.0,205.0,1.9643,56.0,1.9642857142857144,56.0
3,18758.0,4142.0,16906.0,3552.0,2.4426,1543.0,2.442644199611147,1543.0
4,579.0,134.0,364.0,95.0,2.6875,32.0,2.6875,32.0
5,23800.0,6558.0,21654.0,5159.0,2.4908,1687.0,2.4908120924718435,1687.0
6,162.0,33.0,87.0,23.0,3.0,7.0,3.0,7.0
7,4524.0,1390.0,3758.0,1005.0,1.7895,285.0,1.7894736842105263,285.0
8,330.0,101.0,214.0,55.0,2.4375,16.0,2.4375,16.0
9,2169.0,659.0,1463.0,430.0,2.9466,206.0,2.9466019417475726,206.0
10,10410.0,2363.0,9226.0,1890.0,2.1509,729.0,2.150891632373114,729.0
11,53020.0,10213.0,49945.0,8417.0,1.6681,3073.0,1.6680767979173443,3073.0
12,32489.0,6981.0,29917.0,5692.0,2.311,1997.0,2.310966449674512,1997.0
13,143232.0,23309.0,137505.0,19472.0,2.2859,8440.0,2.285900473933649,8440.0
14,2091.0,702.0,1756.0,586.0,1.8441,186.0,1.8440860215053765,186.0
15,5276.0,1699.0,3985.0,1324.0,2.3712,431.0,2.37122969837587,431.0
16,1538.0,449.0,1215.0,360.0,2.1649,97.0,2.164948453608248,97.0
17,1045.0,441.0,833.0,302.0,1.52,75.0,1.52,75.0
18,26340.0,5771.0,24310.0,4909.0,2.4285,1748.0,2.4284897025171626,1748.0
19,2508.0,702.0,2005.0,460.0,1.8155,168.0,1.8154761904761905,168.0
20,1071.0,237.0,793.0,178.0,3.1406,64.0,3.140625,64.0
21,64.0,24.0,34.0,14.0,3.0,5.0,3.0,5.0
22,3214.0,1221.0,2202.0,770.0,4.5542,415.0,4.554216867469879,415.0
23,986.0,375.0,687.0,251.0,3.1688,77.0,3.168831168831169,77.0
24,986.0,314.0,719.0,231.0,3.4643,56.0,3.4642857142857144,56.0
25,490.0,149.0,331.0,103.0,3.2,20.0,3.2,20.0
26,2802.0,836.0,2245.0,644.0,3.8495,279.0,3.849462365591398,279.0
27,1792.0,613.0,1400.0,466.0,3.124,121.0,3.12396694214876,121.0
28,6200.0,1481.0,5270.0,1093.0,2.6568,437.0,2.65675057208238,437.0
29,138.0,27.0,77.0,15.0,3.25,8.0,3.25,8.0
30,1709.0,639.0,1422.0,492.0,1.8039,102.0,1.803921568627451,102.0
31,1169.0,365.0,872.0,230.0,1.8983,59.0,1.8983050847457628,59.0
32,523.0,136.0,423.0,87.0,1.5517,29.0,1.5517241379310345,29.0
33,,,,,0.0,0.0,0.0,0.0
34,780.0,200.0,587.0,137.0,2.42,50.0,2.42,50.0
35,,,,,0.0,0.0,0.0,0.0
36,627.0,226.0,431.0,136.0,4.3492,63.0,4.349206349206349,63.0
37,231.0,69.0,155.0,43.0,2.0909,11.0,2.090909090909091,11.0
38,161.0,43.0,104.0,25.0,1.9,10.0,1.9,10.0
39,176.0,62.0,114.0,45.0,2.4444,9.0,2.4444444444444446,9.0
40,596.0,176.0,286.0,101.0,2.7917,24.0,2.7916666666666665,24.0
41,21932.0,4931.0,20774.0,4117.0,1.1432,1096.0,1.1432481751824817,1096.0
42,32951.0,7280.0,29574.0,5986.0,3.4823,2832.0,3.4823446327683616,2832.0
43,504.0,131.0,384.0,90.0,2.4242,33.0,2.4242424242424243,33.0
44,2106.0,701.0,1760.0,555.0,1.623,183.0,1.6229508196721312,183.0
45,17765.0,4302.0,16349.0,3288.0,1.251,1004.0,1.250996015936255,1004.0
46,9897.0,2632.0,8833.0,2145.0,2.2194,638.0,2.219435736677116,638.0
47,13252.0,3000.0,12153.0,2376.0,2.2336,578.0,2.2335640138408306,578.0
48,1086.0,266.0,740.0,174.0,2.4638,69.0,2.463768115942029,69.0
49,7245.0,1604.0,6470.0,1337.0,1.3604,505.0,1.3603960396039605,505.0
50,52809.0,10803.0,49693.0,9137.0,1.4751,3212.0,1.475093399750934,3212.0
51,10350.0,2146.0,9563.0,1772.0,2.3769,536.0,2.376865671641791,536.0
52,710.0,204.0,532.0,161.0,2.6087,46.0,2.608695652173913,46.0
53,73.0,12.0,43.0,6.0,2.5,2.0,2.5,2.0
54,23552.0,4764.0,21189.0,3741.0,2.7772,1589.0,2.777218376337319,1589.0
55,140.0,42.0,106.0,26.0,1.5,10.0,1.5,10.0
56,,,,,0.0,0.0,0.0,0.0
57,622.0,152.0,440.0,101.0,2.9231,52.0,2.923076923076923,52.0
58,2252.0,664.0,1707.0,423.0,2.6442,163.0,2.644171779141104,163.0
59,1814.0,458.0,1458.0,355.0,2.5693,137.0,2.56934306569343,137.0
60,4990.0,1398.0,4088.0,1166.0,2.7793,444.0,2.779279279279279,444.0
61,844.0,264.0,685.0,219.0,1.75,52.0,1.75,52.0
62,489.0,154.0,355.0,110.0,1.8462,26.0,1.8461538461538465,26.0
63,696.0,220.0,459.0,133.0,2.6296,54.0,2.6296296296296298,54.0
64,691.0,179.0,476.0,119.0,2.5424,59.0,2.542372881355932,59.0
65,41.0,16.0,29.0,13.0,1.3333,3.0,1.3333333333333333,3.0
66,3441.0,872.0,2723.0,661.0,2.7843,306.0,2.784313725490196,306.0
67,583.0,207.0,391.0,116.0,2.4706,34.0,2.4705882352941178,34.0
68,781.0,202.0,517.0,143.0,3.2286,70.0,3.2285714285714286,70.0
69,80.0,31.0,51.0,17.0,2.4,5.0,2.4,5.0
70,3145.0,909.0,2482.0,739.0,2.2167,263.0,2.216730038022814,263.0
71,8934.0,2427.0,7639.0,1808.0,3.6398,769.0,3.639791937581274,769.0
72,2899.0,645.0,2023.0,429.0,2.5668,187.0,2.5668449197860963,187.0
73,2183.0,594.0,1853.0,474.0,2.0938,160.0,2.09375,160.0
74,21148.0,5503.0,19705.0,4687.0,1.1532,1527.0,1.1532416502946954,1527.0
75,1801.0,566.0,1440.0,426.0,1.218,133.0,1.218045112781955,133.0
76,947.0,325.0,782.0,265.0,2.5474,95.0,2.5473684210526315,95.0
77,1066.0,349.0,700.0,252.0,3.6,90.0,3.6,90.0
78,376.0,112.0,199.0,61.0,3.4571,35.0,3.4571428571428573,35.0
79,258.0,78.0,128.0,36.0,3.0769,26.0,3.076923076923077,26.0
80,209.0,71.0,71.0,30.0,3.0,14.0,3.0,14.0
81,210.0,70.0,96.0,30.0,3.6875,16.0,3.6875,16.0
82,616.0,239.0,383.0,132.0,2.9412,51.0,2.9411764705882355,51.0
83,289.0,87.0,151.0,38.0,2.8519,27.0,2.851851851851852,27.0
84,1843.0,621.0,1125.0,403.0,3.4132,167.0,3.413173652694611,167.0
85,1065.0,411.0,775.0,304.0,2.125,88.0,2.125,88.0
86,,,,,0.0,0.0,0.0,0.0
87,600.0,218.0,429.0,160.0,2.5962,52.0,2.5961538461538463,52.0
88,11706.0,2686.0,9989.0,2053.0,2.8506,850.0,2.8505882352941176,850.0
89,768.0,302.0,473.0,187.0,2.8088,68.0,2.8088235294117645,68.0
90,818.0,262.0,619.0,208.0,1.4262,61.0,1.4262295081967211,61.0
91,6919.0,1939.0,5556.0,1379.0,3.8578,696.0,3.8577586206896552,696.0
92,2842.0,1636.0,1306.0,663.0,0.0,0.0,0.0,0.0
93,34563.0,6381.0,31886.0,5256.0,2.938,2453.0,2.9380350591112925,2453.0
94,5161.0,1316.0,4389.0,1088.0,2.5458,469.0,2.5458422174840085,469.0
95,1286.0,377.0,1078.0,313.0,1.378,127.0,1.3779527559055118,127.0
96,875.0,306.0,609.0,209.0,1.8163,49.0,1.816326530612245,49.0
97,1376.0,449.0,1080.0,342.0,2.5294,85.0,2.5294117647058822,85.0
98,12522.0,3442.0,11332.0,2865.0,3.0369,1004.0,3.0368525896414345,1004.0
99,3134.0,913.0,2555.0,700.0,2.6305,249.0,2.630522088353413,249.0
